"","matrix","time","row","col","value"
"1","N",1,0,0,2253055.37733873
"2","S",1,0,0,401725.871336702
"3","I",1,0,0,743.648125495419
"4","R",1,0,0,1851259.24097064
"5","D",1,0,0,12.7702295205057
"6","model_pop",1,0,0,2253863.38359106
"7","infection",1,0,0,335.388204070296
"8","mu_S",1,0,0,71.9796786235541
"9","mu_I",1,0,0,0.134221014883587
"10","mu_R",1,0,0,331.889834515956
"11","N",2,0,0,2253055.37733873
"12","S",2,0,0,402339.18715713
"13","I",2,0,0,729.379112257706
"14","R",2,0,0,1850912.86929379
"15","D",2,0,0,25.2883855864078
"16","model_pop",2,0,0,2254031.92003674
"17","infection",2,0,0,329.681729253002
"18","mu_S",2,0,0,147.159508100358
"19","mu_I",2,0,0,0.269396402108751
"20","mu_R",2,0,0,677.534866866298
"21","N",3,0,0,2253055.37733873
"22","S",3,0,0,402929.049635038
"23","I",3,0,0,716.437369266239
"24","R",3,0,0,1850430.84503075
"25","D",3,0,0,37.5750360810412
"26","model_pop",3,0,0,2254095.26513581
"27","infection",3,0,0,324.705058386354
"28","mu_S",3,0,0,175.589521486706
"29","mu_I",3,0,0,0.315177435168019
"30","mu_R",3,0,0,807.069236496267
"31","N",4,0,0,2253055.37733873
"32","S",4,0,0,403512.1195827
"33","I",4,0,0,705.072152215158
"34","R",4,0,0,1849894.85402479
"35","D",4,0,0,49.6549299952725
"36","model_pop",4,0,0,2254119.14773841
"37","infection",4,0,0,320.624595823336
"38","mu_S",4,0,0,186.462514296194
"39","mu_I",4,0,0,0.328632323654291
"40","mu_R",4,0,0,855.57229258929
"41","N",5,0,0,2253055.37733873
"42","S",5,0,0,404093.887889144
"43","I",5,0,0,695.591083521248
"44","R",5,0,0,1849336.068247
"45","D",5,0,0,61.5575092348426
"46","model_pop",5,0,0,2254128.21330331
"47","infection",5,0,0,317.648612495857
"48","mu_S",5,0,0,190.7401388416
"49","mu_I",5,0,0,0.330779140257167
"50","mu_R",5,0,0,873.682100604418
"51","N",6,0,0,2253055.37733873
"52","S",6,0,0,404675.477611373
"53","I",6,0,0,688.384157007938
"54","R",6,0,0,1848766.83480165
"55","D",6,0,0,73.3181242997269
"56","model_pop",6,0,0,2254131.70013978
"57","infection",6,0,0,316.029586256462
"58","mu_S",6,0,0,192.537749296023
"59","mu_I",6,0,0,0.329450069239908
"60","mu_R",6,0,0,880.379892986985
"61","N",7,0,0,2253055.37733873
"62","S",7,0,0,405256.182086235
"63","I",7,0,0,683.92321610714
"64","R",7,0,0,1848192.5814157
"65","D",7,0,0,84.979432488431
"66","model_pop",7,0,0,2254133.06794094
"67","infection",7,0,0,316.053065552291
"68","mu_S",7,0,0,193.399517367199
"69","mu_I",7,0,0,0.327666817734656
"70","mu_R",7,0,0,882.778417399046
"71","N",8,0,0,2253055.37733873
"72","S",8,0,0,405834.415187312
"73","I",8,0,0,682.745077838862
"74","R",8,0,0,1847616.29932844
"75","D",8,0,0,96.5926414670376
"76","model_pop",8,0,0,2254133.60861463
"77","infection",8,0,0,318.020137351253
"78","mu_S",8,0,0,193.903819353544
"79","mu_I",8,0,0,0.326705074719234
"80","mu_R",8,0,0,883.540448818281
"81","N",9,0,0,2253055.37733873
"82","S",9,0,0,406408.078515633
"83","I",9,0,0,685.424094346092
"84","R",9,0,0,1847040.23488888
"85","D",9,0,0,108.218374556719
"86","model_pop",9,0,0,2254133.80060709
"87","infection",9,0,0,322.227596384592
"88","mu_S",9,0,0,194.266133076435
"89","mu_I",9,0,0,0.327209877324315
"90","mu_R",9,0,0,883.660076478409
"91","N",10,0,0,2253055.37733873
"92","S",10,0,0,406974.722328225
"93","I",10,0,0,692.538350286453
"94","R",10,0,0,1846466.52451656
"95","D",10,0,0,119.927017391091
"96","model_pop",10,0,0,2254133.81711964
"97","infection",10,0,0,328.947741291314
"98","mu_S",10,0,0,194.565503897881
"99","mu_I",10,0,0,0.329594503539369
"100","mu_R",10,0,0,883.505620329687
"101","N",11,0,0,2253055.37733873
"102","S",11,0,0,407531.641838955
"103","I",11,0,0,704.631819669643
"104","R",11,0,0,1845897.42240793
"105","D",11,0,0,131.798460323415
"106","model_pop",11,0,0,2254133.71708527
"107","infection",11,0,0,338.407877749649
"108","mu_S",11,0,0,194.82966930197
"109","mu_I",11,0,0,0.334175395193684
"110","mu_R",11,0,0,883.210898666423
"111","N",12,0,0,2253055.37733873
"112","S",12,0,0,408075.963359089
"113","I",12,0,0,722.172909217438
"114","R",12,0,0,1845335.363584
"115","D",12,0,0,143.921173526718
"116","model_pop",12,0,0,2254133.51721663
"117","infection",12,0,0,350.768417433799
"118","mu_S",12,0,0,195.067120213972
"119","mu_I",12,0,0,0.341209204549595
"120","mu_R",12,0,0,882.822229407911
"121","N",13,0,0,2253055.37733873
"122","S",13,0,0,408604.742769595
"123","I",13,0,0,745.508679463266
"124","R",13,0,0,1844782.95205886
"125","D",13,0,0,156.390548073984
"126","model_pop",13,0,0,2254133.21949541
"127","infection",13,0,0,366.098396994421
"128","mu_S",13,0,0,195.279250280685
"129","mu_I",13,0,0,0.35089265473825
"130","mu_R",13,0,0,882.353884685681
"131","N",14,0,0,2253055.37733873
"132","S",14,0,0,409115.086203138
"133","I",14,0,0,774.814455973936
"134","R",14,0,0,1844242.90638082
"135","D",14,0,0,169.306426076343
"136","model_pop",14,0,0,2254132.82199826
"137","infection",14,0,0,384.348579736562
