"","par_id","mat","row","col","default","current"
"1",0,"logit_Sp",0,0,-1.70474809223843,-1.72725917466323
"2",1,"logit_Ip",0,0,-8.51699317141357,-7.64589717238534
"3",2,"logit_CFP_min",0,0,-4.59511985013459,-5.21095855192234
"4",3,"logit_CFP_max",0,0,-4.36944785246702,-3.1674771420778
"5",4,"log_disp",0,0,1,3.49098128322279
"6",5,"log_CFP_mid",0,0,7.88306935130575,7.83897500068814
"7",6,"log_CFP_rate",0,0,-4.60517018598809,-3.81275029323623
"8",7,"b0",0,0,0,0.987996552467166
"9",8,"log_rbf_beta_sd",0,0,0,-1.84135873670109
"10",9,"log_rbf_fourrier_sd",0,0,0,-4.05808160366571
"11",10,"c",0,0,0,0.105011172027477
"12",11,"c",1,0,0,-0.0260906572880603
"13",12,"c",2,0,0,0.137607922807808
"14",13,"c",3,0,0,-0.038352992720298
"15",14,"c",4,0,0,-0.0344022258115472
"16",15,"c",5,0,0,0.298365272460761
"17",16,"c",6,0,0,-0.193159072270345
"18",17,"c",7,0,0,0.221789099375144
"19",18,"c",8,0,0,-0.0942045360045527
"20",19,"c",9,0,0,0.0512687279863929
"21",20,"c",10,0,0,-0.0609016407436944
"22",21,"c",11,0,0,0.123570618639934
"23",22,"c",12,0,0,-0.150995256436781
"24",23,"c",13,0,0,0.0217147205777178
"25",24,"c",14,0,0,-0.0614561283841548
"26",25,"c",15,0,0,-0.0693551814147536
"27",26,"c",16,0,0,-0.0737266965299343
"28",27,"c",17,0,0,-0.0193073854048829
"29",28,"c",18,0,0,-0.11412621784304
"30",29,"c",19,0,0,-0.0300510208514682
"31",30,"c",20,0,0,-0.0578761131590567
"32",31,"c",21,0,0,-0.0663746486469199
"33",32,"c",22,0,0,-0.21227503826714
"34",33,"c",23,0,0,-0.00693476564182575
"35",34,"c",24,0,0,-0.150760067465823
"36",35,"c",25,0,0,-0.14153585195068
"37",36,"c",26,0,0,-0.119292086966578
"38",37,"c",27,0,0,-0.27737098319101
"39",38,"c",28,0,0,-0.109325958445325
"40",39,"c",29,0,0,-0.293403872246181
"41",40,"c",30,0,0,-0.184080064028377
"42",41,"c",31,0,0,-0.277329949822606
"43",42,"c",32,0,0,-0.0837499118730802
"44",43,"c",33,0,0,-0.216252705482526
"45",44,"c",34,0,0,-0.0794716481691267
"46",45,"c",35,0,0,0.0142994028131319
"47",46,"c",36,0,0,-0.00550441094333465
"48",47,"c",37,0,0,-0.095342883987006
"49",48,"c",38,0,0,0.344217052341384
"50",49,"c",39,0,0,-0.0140693357116917
"51",50,"c",40,0,0,0.421907367013054
"52",51,"c",41,0,0,0.0589031036383838
"53",52,"c",42,0,0,0.257228745796997
"54",53,"c",43,0,0,0.063329588385891
"55",54,"c",44,0,0,0.201135778417257
"56",55,"c",45,0,0,0.0108868464361658
"57",56,"c",46,0,0,0.162996852053982
"58",57,"c",47,0,0,0.0564275927530727
"59",58,"c",48,0,0,0.121091266589137
"60",59,"c",49,0,0,-0.0351491883192948
"61",60,"c",50,0,0,0.0656760130789567
"62",61,"c",51,0,0,-0.0441521954884701
"63",62,"c",52,0,0,-0.0829231280393739
"64",63,"c",53,0,0,0.00914615182823202
"65",64,"c",54,0,0,-0.132917707918633
"66",65,"c",55,0,0,-0.019666126425745
"67",66,"c",56,0,0,-0.228011755496717
"68",67,"c",57,0,0,0.011225714761468
"69",68,"c",58,0,0,-0.278475613623889
"70",69,"c",59,0,0,-0.0467911701698881
"71",70,"c",60,0,0,-0.214699265444102
"72",71,"c",61,0,0,-0.201906391826457
"73",72,"c",62,0,0,-0.0951561518152908
"74",73,"c",63,0,0,-0.371939985656897
"75",74,"cos_coeffs_mat",0,0,0,-0.0694191845436842
"76",75,"cos_coeffs_mat",1,0,0,-0.0261051915464248
"77",76,"cos_coeffs_mat",2,0,0,-0.0312359554801966
"78",77,"cos_coeffs_mat",3,0,0,-0.0390600832908207
"79",78,"cos_coeffs_mat",4,0,0,-0.014123083652689
"80",79,"cos_coeffs_mat",5,0,0,-0.0226699548994164
"81",80,"cos_coeffs_mat",6,0,0,-0.0331877405173078
"82",81,"cos_coeffs_mat",7,0,0,-0.0279084584603708
"83",82,"cos_coeffs_mat",8,0,0,-0.0113618550497342
"84",83,"cos_coeffs_mat",9,0,0,-0.0185796090111391
"85",84,"cos_coeffs_mat",10,0,0,-0.0464083130163697
"86",85,"cos_coeffs_mat",11,0,0,-0.0420754242385656
"87",86,"cos_coeffs_mat",12,0,0,-0.0281927950244665
"88",87,"cos_coeffs_mat",13,0,0,-0.0230237925749446
"89",88,"cos_coeffs_mat",14,0,0,-0.0283802724966432
"90",89,"cos_coeffs_mat",15,0,0,-0.0288317751742533
"91",90,"cos_coeffs_mat",16,0,0,-0.0660414442012888
"92",91,"cos_coeffs_mat",17,0,0,-0.0493044312781093
"93",92,"cos_coeffs_mat",18,0,0,-0.0145341203606219
"94",93,"cos_coeffs_mat",19,0,0,-0.026801191797013
"95",94,"cos_coeffs_mat",20,0,0,-0.0534623355798402
"96",95,"cos_coeffs_mat",21,0,0,-0.026956329031058
"97",96,"cos_coeffs_mat",22,0,0,-0.0349569511135907
"98",97,"cos_coeffs_mat",23,0,0,-0.0349375166248909
"99",98,"cos_coeffs_mat",24,0,0,-0.0402128190981393
"100",99,"cos_coeffs_mat",25,0,0,-0.016697910640525
"101",100,"cos_coeffs_mat",26,0,0,-0.0270183648814397
"102",101,"cos_coeffs_mat",27,0,0,-0.0328164927573142
"103",102,"cos_coeffs_mat",28,0,0,-0.0487073689013594
"104",103,"cos_coeffs_mat",29,0,0,-0.0244399287116983
"105",104,"cos_coeffs_mat",30,0,0,-0.0173632185264368
"106",105,"cos_coeffs_mat",31,0,0,-0.0330623236969799
"107",106,"cos_coeffs_mat",32,0,0,-0.00557807414377763
"108",107,"cos_coeffs_mat",33,0,0,-0.0243466282544793
"109",108,"cos_coeffs_mat",34,0,0,-0.0463082604604911
"110",109,"cos_coeffs_mat",35,0,0,-0.0252356309767602
"111",110,"cos_coeffs_mat",36,0,0,-0.0107264033732743
"112",111,"cos_coeffs_mat",37,0,0,-0.00998792935685553
"113",112,"cos_coeffs_mat",38,0,0,0.00520565279933091
"114",113,"cos_coeffs_mat",39,0,0,-0.00015046117664206
"115",114,"cos_coeffs_mat",40,0,0,-0.0250673703090474
"116",115,"cos_coeffs_mat",41,0,0,-0.0179256564637368
"117",116,"cos_coeffs_mat",42,0,0,0.0126592531849088
"118",117,"cos_coeffs_mat",43,0,0,0.00677888016939661
"119",118,"cos_coeffs_mat",44,0,0,-0.0156308817177463
"120",119,"cos_coeffs_mat",45,0,0,-0.0080406206002814
"121",120,"cos_coeffs_mat",46,0,0,-0.0116101813697174
"122",121,"cos_coeffs_mat",47,0,0,-0.0158285115850893
"123",122,"cos_coeffs_mat",48,0,0,0.00656805108088244
"124",123,"cos_coeffs_mat",49,0,0,0.00731123413918519
